Country,Country code,State,State code,State type,Date,Category,Subcategory,Variable,Unit,Value,Year,Month,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Bioenergy,GWh,1602.12,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Coal,GWh,78499.54,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Gas,GWh,4301.69,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Hydro,GWh,9729.55,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Nuclear,GWh,4054.31,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Other Fossil,GWh,11.16,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Other Renewables,GWh,36.96,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Solar,GWh,5633.32,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Wind,GWh,3405.61,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Bioenergy,GWh,1158.15,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Coal,GWh,61936.91,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Gas,GWh,4858.01,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Hydro,GWh,10815.01,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Nuclear,GWh,3860.07,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Other Fossil,GWh,10.8,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Other Renewables,GWh,33.26,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Solar,GWh,5353.45,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Wind,GWh,3473.87,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Bioenergy,GWh,924.79,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Coal,GWh,72655.32,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Gas,GWh,5227.27,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Hydro,GWh,14793.31,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Nuclear,GWh,3797.54,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Other Fossil,GWh,11.16,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Other Renewables,GWh,36.47,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Solar,GWh,5618.3,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Wind,GWh,6237.89,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Bioenergy,GWh,482.08,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Coal,GWh,73055.31,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Gas,GWh,5081.06,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Hydro,GWh,17833.2,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Nuclear,GWh,3764.73,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Other Fossil,GWh,10.8,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Other Renewables,GWh,123.46,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Solar,GWh,4703.23,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Wind,GWh,7895.79,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/07/2020,Electricity generation,Fuel,Bioenergy,GWh,443.06,2020,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2020,Electricity generation,Fuel,Coal,GWh,80575.48,2020,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2020,Electricity generation,Fuel,Gas,GWh,4860.63,2020,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2020,Electricity generation,Fuel,Hydro,GWh,19002.05,2020,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2020,Electricity generation,Fuel,Nuclear,GWh,3358.52,2020,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2020,Electricity generation,Fuel,Other Fossil,GWh,11.16,2020,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2020,Electricity generation,Fuel,Other Renewables,GWh,144.24,2020,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2020,Electricity generation,Fuel,Solar,GWh,4639.49,2020,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2020,Electricity generation,Fuel,Wind,GWh,6966.95,2020,7,,,,,,,,,
India,IND,India Total,IN,total,01/08/2020,Electricity generation,Fuel,Bioenergy,GWh,426.03,2020,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2020,Electricity generation,Fuel,Coal,GWh,74687.06,2020,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2020,Electricity generation,Fuel,Gas,GWh,4335.48,2020,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2020,Electricity generation,Fuel,Hydro,GWh,20224.66,2020,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2020,Electricity generation,Fuel,Nuclear,GWh,3590.73,2020,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2020,Electricity generation,Fuel,Other Fossil,GWh,11.16,2020,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2020,Electricity generation,Fuel,Other Renewables,GWh,153.24,2020,8,,,,,,,,,
